Product Name,Manufacturer,Date Last Verified,Revision Date,CAS #,Product Code,Supplier,Document ID,Custom 1,Custom 2,Date Modified,Date Added,Added By,Regulatory Formats,Added To Queue By,Status,Language,UN/NA #,Approval,Approval Number
FAST & EASY,"Spartan Chemical Company, Inc.",4/21/2026 12:00:00 AM,1/20/2025 12:00:00 AM,,3260; 3262,,151944016,,,3/18/2025,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Buffer Solution pH 4.01 ± 0.02,Hach Company,1/13/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,2283449,,151944056,,,4/8/2026,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Buffer Solution pH 7.00 ± 0.02,Hach Company,1/13/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,2283549,Hach Company,151944032,,,4/8/2026,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Buffer Solution pH 10.01 ± 0.02,Hach Company,11/7/2025 12:00:00 AM,2/10/2025 12:00:00 AM,,2283649,,151944057,,,4/8/2026,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
EASY-OFF Heavy Duty Oven Cleaner Aerosol - Regular Scent,Reckitt Benckiser LLC,7/5/2023 12:00:00 AM,9/14/2020 12:00:00 AM,,"3101815 v1.0, Aerosol Can, FF3101815 (D8362392) NA",,138668001,,,2/27/2025,2/27/2025, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Lysol Disinfecting Wipes - All Scents,Reckitt Benckiser LLC.,3/11/2026 12:00:00 AM,5/15/2018 12:00:00 AM,,"D8298990 (NA), Lemon Lime Blossom/Citrus: Fill e0062-340/ 8287832 v1 (PMX. e0038-391A / 8251139 v1 + Non-woven #8269971 v1;expressed Liquid e0038-391A), 0122215, 019200779258, 8083744",,148011733,,,7/22/2025,2/27/2025, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"LYSOL Kitchen Pro Antibacterial Cleaner, LYSOL Kitchen Pro Daily Cleaner",Reckitt Benckiser LLC,2/11/2026 12:00:00 AM,3/16/2020 12:00:00 AM,,"FF e0101-055 (TDS# 8223313)_1.0, FF8223313_D8255287 NA",,141990352,,,2/27/2025,2/27/2025,Mike Mueller,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
TARN-X PRO TARNISH REMOVER,"Jelmar, LLC",11/17/2025 12:00:00 AM,7/15/2022 12:00:00 AM,,,,144984852,,,2/27/2025,2/27/2025,Benjamin Goedert,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
HAND WASH – Sweet Water,method Products,2/14/2014 12:00:00 AM,7/21/2011 12:00:00 AM,,4016,,141294569,,,2/27/2025,2/27/2025, VelocityEHS,United States , ,In Use,English,,Approved,
FINISH GELPACS - All Scents,Reckitt Benckiser LLC,9/3/2014 12:00:00 AM,4/25/2013 12:00:00 AM,,"FINISH GELPACS - Fresh - 8049722v1.0/8049749v1.0, FINISH GELPACS - Lavender - 8049726v1.0/8049753v1.0, FINISH GELPACS - Orange - 8049723v1.0/8049750v1.0",,147969340,,,2/27/2025,2/27/2025, VelocityEHS,United States , ,In Use,English,,Approved,
FINISH POWERBALL Tabs - All Scents,Reckitt Benckiser LLC,9/13/2016 12:00:00 AM,9/18/2013 12:00:00 AM,,"FINISH POWERBALL Tabs - Fresh - 8032317v1.0, FINISH POWERBALL Tabs - Orange - 8081573v1.0",,148006915,,,2/27/2025,2/27/2025, VelocityEHS,United States , ,In Use,English,,Approved,
The Degreaser,"Spartan Chemical Company, Inc.",4/7/2020 12:00:00 AM,4/7/2020 12:00:00 AM,,4734C,Spartan Chemical Company,151770009,,,3/6/2025,2/21/2025,Jamie Penicook,Canada ,Jamie Penicook,In Use,English,,Approved,
Dawn Professional Heavy Duty Floor Cleaner,Procter & Gamble Professional,5/14/2018 12:00:00 AM,5/14/2018 12:00:00 AM,,4-55,Procter & Gamble,151769999,,,3/6/2025,2/21/2025,Jamie Penicook,"United States, Canada, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
Oil-Based Stainless Steel Polish,NORTH AMERICAN CORP,10/24/2014 12:00:00 AM,10/24/2014 12:00:00 AM,,1000002508,North American Corporation of Illinois,151769981,,,3/6/2025,2/21/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
Super HDQL 10 Disinfectant Cleaner,"Spartan Chemical Company, Inc.",9/16/2019 12:00:00 AM,9/16/2019 12:00:00 AM,,,Spartan Chemical Company,151769970,,,3/6/2025,2/21/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
Austin's A-1 Ultra Disinfecting Bleach,James Austin Company,6/24/2016 12:00:00 AM,6/15/2015 12:00:00 AM,7681-52-9,"54200-00027, 54200-00028, 54200-00040, 90000270, 90000400",,46942863,,,2/21/2025,2/21/2025,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
FABULOSO ALL PURPOSE CLEANER LIQUID LAVENDER B02901340107,Colgate-Palmolive Canada Inc.,7/23/2024 12:00:00 AM,3/18/2020 12:00:00 AM,,200000051086,,141295433,,,2/21/2025,2/21/2025, VelocityEHS,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Dawn Professional Dish Detergent,Procter & Gamble Professional,2/11/2022 12:00:00 AM,5/2/2012 12:00:00 AM,,95121663,,149589279,,,2/21/2025,2/21/2025,Nathan Harrington,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
AJAX CLEANER POWDER-OXYGEN BLEACH,Colgate-Palmolive Company,12/24/2020 12:00:00 AM,12/15/2015 12:00:00 AM,,"42784, 035000042781",,147972231,,,2/21/2025,2/21/2025, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
TRIBASE MULTI PURPOSE CLEANER,"Spartan Chemical Company, Inc.",4/24/2025 12:00:00 AM,1/8/2025 12:00:00 AM,"7732-18-5, 68515-73-1,26183-52-8,27252-75-1,110615-47-9,61791-10-4,164462-16-2,68439-50-9,77-92-9,18479-58-8,2634-33-5,2682-20-4,1934-21-0,26172-55-4,25956-17-6",3830,"Spartan Chemical Company, Inc.",151669354,,,2/21/2025,2/21/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
6BR SENSOR SAFE BLUE SILICONE RTV 3 OZ,ITW Permatex,2/17/2025 12:00:00 AM,6/4/2024 12:00:00 AM,,"80022, 68622680220",,151079969,,,11/18/2024,11/18/2024, VelocityEHS,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Avista 200,Avista Technologies Inc,10/30/2023 12:00:00 AM,10/30/2023 12:00:00 AM,,,Avista Technologies Inc,150692827,,,10/4/2024,10/3/2024,Jamie Penicook,"United States, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
PLUG-N-SEAL Patching Paste (Standard Formula and Low Temperature Formula),NEW PIG CORPORATION,10/16/2013 12:00:00 AM,3/15/2013 12:00:00 AM,,,,46989190,36964,,5/23/2024,5/23/2024,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
SURFACE CLEANER 3,Carboline Company,10/17/2023 12:00:00 AM,12/6/2019 12:00:00 AM,,0400S1NL,,50757603,,,5/21/2024,5/21/2024,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
SUPER AGITENE 141,GrayMills Corporation,8/30/2025 12:00:00 AM,6/18/2018 12:00:00 AM,64742-47-8,,,49279978,,,5/21/2024,5/21/2024,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"Lead-Acid Battery, Wet",EnerSys,4/10/2026 12:00:00 AM,2/20/2024 12:00:00 AM,,,,149301611,,,1/23/2026,5/13/2024,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Slic-Tite Paste with PTFE,"LA-CO INDUSTRIES, INC.",2/13/2026 12:00:00 AM,2/8/2024 12:00:00 AM,,,,149138996,,,4/13/2026,4/19/2024,Connie Muncy,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Mirachem Alkaline Cabinet Wash (Use Dilution),Mirachem LLC,3/26/2024 12:00:00 AM,1/27/2023 12:00:00 AM,,2404.04,,149048790,,,4/8/2024,4/8/2024,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
